Michigan State Spartans,Big Ten Conference
0,08/27/2022,Sat,BYE,,,,
0,08/28/2022,Sun,BYE,,,,
0,08/29/2022,Mon,BYE,,,,
0,08/30/2022,Tue,BYE,,,,
0,08/31/2022,Wed,BYE,,,,
0,09/01/2022,Thu,BYE,,,,
0,09/02/2022,Fri,vs.,Western Michigan Broncos,W,35,13
0,09/03/2022,Sat,BYE,,,,
0,09/04/2022,Sun,BYE,,,,
0,09/05/2022,Mon,BYE,,,,
0,09/06/2022,Tue,BYE,,,,
0,09/07/2022,Wed,BYE,,,,
0,09/08/2022,Thu,BYE,,,,
0,09/09/2022,Fri,BYE,,,,
0,09/10/2022,Sat,vs.,Akron Zips,W,52,0
0,09/11/2022,Sun,BYE,,,,
0,09/12/2022,Mon,BYE,,,,
0,09/13/2022,Tue,BYE,,,,
0,09/14/2022,Wed,BYE,,,,
0,09/15/2022,Thu,BYE,,,,
0,09/16/2022,Fri,BYE,,,,
0,09/17/2022,Sat,@,Washington Huskies,L,28,39
0,09/18/2022,Sun,BYE,,,,
0,09/19/2022,Mon,BYE,,,,
0,09/20/2022,Tue,BYE,,,,
0,09/21/2022,Wed,BYE,,,,
0,09/22/2022,Thu,BYE,,,,
0,09/23/2022,Fri,BYE,,,,
0,09/24/2022,Sat,vs.,Minnesota Golden Gophers,L,7,34
0,09/25/2022,Sun,BYE,,,,
0,09/26/2022,Mon,BYE,,,,
0,09/27/2022,Tue,BYE,,,,
0,09/28/2022,Wed,BYE,,,,
0,09/29/2022,Thu,BYE,,,,
0,09/30/2022,Fri,BYE,,,,
0,10/01/2022,Sat,@,Maryland Terrapins,L,13,27
0,10/02/2022,Sun,BYE,,,,
0,10/03/2022,Mon,BYE,,,,
0,10/04/2022,Tue,BYE,,,,
0,10/05/2022,Wed,BYE,,,,
0,10/06/2022,Thu,BYE,,,,
0,10/07/2022,Fri,BYE,,,,
0,10/08/2022,Sat,vs.,Ohio State Buckeyes,L,20,49
0,10/09/2022,Sun,BYE,,,,
0,10/10/2022,Mon,BYE,,,,
0,10/11/2022,Tue,BYE,,,,
0,10/12/2022,Wed,BYE,,,,
0,10/13/2022,Thu,BYE,,,,
0,10/14/2022,Fri,BYE,,,,
0,10/15/2022,Sat,vs.,Wisconsin Badgers,W,34,28
0,10/16/2022,Sun,BYE,,,,
0,10/17/2022,Mon,BYE,,,,
0,10/18/2022,Tue,BYE,,,,
0,10/19/2022,Wed,BYE,,,,
0,10/20/2022,Thu,BYE,,,,
0,10/21/2022,Fri,BYE,,,,
0,10/22/2022,Sat,BYE,,,,
0,10/23/2022,Sun,BYE,,,,
0,10/24/2022,Mon,BYE,,,,
0,10/25/2022,Tue,BYE,,,,
0,10/26/2022,Wed,BYE,,,,
0,10/27/2022,Thu,BYE,,,,
0,10/28/2022,Fri,BYE,,,,
0,10/29/2022,Sat,@,Michigan Wolverines,L,7,29
0,10/30/2022,Sun,BYE,,,,
0,10/31/2022,Mon,BYE,,,,
0,11/01/2022,Tue,BYE,,,,
0,11/02/2022,Wed,BYE,,,,
0,11/03/2022,Thu,BYE,,,,
0,11/04/2022,Fri,BYE,,,,
0,11/05/2022,Sat,@,Illinois Fighting Illini,W,23,15
0,11/06/2022,Sun,BYE,,,,
0,11/07/2022,Mon,BYE,,,,
0,11/08/2022,Tue,BYE,,,,
0,11/09/2022,Wed,BYE,,,,
0,11/10/2022,Thu,BYE,,,,
0,11/11/2022,Fri,BYE,,,,
